island,species,sex,beak_height,upper_beak_length,nostril_upper_beak_length
Wlf_Wnm,Geospiza magnirostris,M,20.7,22.8,15.7
Wlf_Wnm,Geospiza magnirostris,M,19.5,24.3,16.6
Wlf_Wnm,Geospiza magnirostris,M,20.6,22.4,15.3
Wlf_Wnm,Geospiza magnirostris,M,21.4,23.1,15.4
Wlf_Wnm,Geospiza magnirostris,M,19.8,22.4,15.5
Wlf_Wnm,Geospiza magnirostris,M,20.2,22,14.8
Wlf_Wnm,Geospiza magnirostris,M,21.3,23.9,16.3
Wlf_Wnm,Geospiza magnirostris,M,21.5,24.2,16.6
Wlf_Wnm,Geospiza magnirostris,M,19,22.1,15.2
Wlf_Wnm,Geospiza magnirostris,F,19.3,22.4,16.1
Wlf_Wnm,Geospiza magnirostris,F,19,22.2,15.6
Wlf_Wnm,Geospiza magnirostris,F,19.7,23.5,16.4
Wlf_Wnm,Geospiza magnirostris,F,19,21.9,15.1
Wlf_Wnm,Geospiza magnirostris,U,19.1,22.5,16.5
Wlf_Wnm,Geospiza magnirostris,U,19.7,22.9,16.5
Gnov_Twr,Geospiza magnirostris,M,22.1,25.3,17.7
Gnov_Twr,Geospiza magnirostris,M,22,24.9,17.2
Gnov_Twr,Geospiza magnirostris,M,21.7,23.5,16
Gnov_Twr,Geospiza magnirostris,M,21,23.1,15.9
Gnov_Twr,Geospiza magnirostris,M,21.6,24.6,17
Gnov_Twr,Geospiza magnirostris,M,21,23.9,16.8
Gnov_Twr,Geospiza magnirostris,M,20,22.8,15.5
Gnov_Twr,Geospiza magnirostris,M,19.8,23.4,16.2
Gnov_Twr,Geospiza magnirostris,M,22,24.7,16.9
Gnov_Twr,Geospiza magnirostris,M,22,23.7,16.3
Gnov_Twr,Geospiza magnirostris,M,21.5,24.4,17.4
Gnov_Twr,Geospiza magnirostris,M,22.3,24,16.1
Gnov_Twr,Geospiza magnirostris,M,21.2,24.2,16.4
Gnov_Twr,Geospiza magnirostris,M,21.8,24.1,16.5
Gnov_Twr,Geospiza magnirostris,M,18.6,22.9,15.8
Gnov_Twr,Geospiza magnirostris,M,22.5,25,16.5
Gnov_Twr,Geospiza magnirostris,M,21,24.4,16.9
Gnov_Twr,Geospiza magnirostris,M,23.2,25.9,17.5
Gnov_Twr,Geospiza magnirostris,M,22.9,25.1,17.1
Gnov_Twr,Geospiza magnirostris,M,19.8,25,16.8
Gnov_Twr,Geospiza magnirostris,M,20.5,24.1,16.7
Gnov_Twr,Geospiza magnirostris,M,20.3,23.3,16.1
Gnov_Twr,Geospiza magnirostris,M,20,23,16.2
Gnov_Twr,Geospiza magnirostris,F,20.7,24,16.1
Gnov_Twr,Geospiza magnirostris,F,20.6,23.5,16.6
Gnov_Twr,Geospiza magnirostris,F,21.4,23.6,16.7
Gnov_Twr,Geospiza magnirostris,F,20.7,23.7,16
Gnov_Twr,Geospiza magnirostris,F,21.7,24.3,16.6
Gnov_Twr,Geospiza magnirostris,F,20.7,23.4,16.9
Gnov_Twr,Geospiza magnirostris,F,21.7,24.1,16.7
Gnov_Twr,Geospiza magnirostris,F,21.3,24.6,17
Gnov_Twr,Geospiza magnirostris,F,20.7,24,16.6
Gnov_Twr,Geospiza magnirostris,F,20.5,22.1,15.3
Gnov_Twr,Geospiza magnirostris,F,19.6,23.2,15.2
Pnt_Abng,Geospiza magnirostris,M,19.1,22.5,15.9
Pnt_Abng,Geospiza magnirostris,M,19,21.5,15.8
Pnt_Abng,Geospiza magnirostris,M,21,23,16.5
