Lake;Region;Class
1;North;1
2;North;1
3;North;1
4;North;1
5;North;1
6;North;1
7;North;1
8;North;1
9;North;1
10;North;1
11;North;1
12;North;1
13;North;1
14;North;1
15;North;1
16;North;1
17;North;1
18;North;1
19;North;1
20;North;1
21;North;1
22;North;1
23;North;1
24;North;1
25;North;1
26;North;1
27;North;1
28;North;1
29;North;1
30;North;1
31;North;1
32;North;1
33;North;1
34;North;1
35;North;1
36;North;1
37;North;1
38;North;1
39;North;1
40;North;1
41;North;1
42;North;1
43;North;1
44;North;1
45;North;1
46;North;1
47;North;1
48;North;1
49;North;1
50;North;1
51;North;1
52;North;1
53;North;1
54;North;1
55;North;1
56;North;1
57;North;1
58;North;1
59;North;1
60;North;1
61;North;1
62;North;1
63;North;1
64;North;1
65;North;1
66;North;1
67;North;1
68;North;1
69;North;1
70;North;1
71;North;1
72;North;1
73;North;1
74;North;1
75;North;1
76;North;1
77;North;1
78;North;1
79;North;1
80;North;1
81;North;1
82;North;1
83;North;1
84;North;1
85;North;1
86;North;1
87;North;1
88;North;1
89;North;1
90;North;1
91;North;1
92;North;1
93;North;1
94;North;1
95;North;1
96;North;1
97;North;1
98;North;1
99;North;1
100;North;1
101;North;1
102;North;1
103;North;1
104;North;1
105;North;1
106;North;1
107;North;1
108;North;1
109;North;1
110;North;1
111;North;1
112;North;1
113;North;1
114;North;1
115;North;1
116;North;1
117;North;1
118;North;1
119;North;1
120;North;1
121;North;1
122;North;1
123;North;1
124;North;1
125;North;1
126;North;1
127;North;1
128;North;1
129;North;1
130;North;1
131;North;1
132;North;1
133;North;1
134;North;1
135;North;1
136;North;1
137;North;1
138;North;1
139;North;1
140;North;1
141;North;1
142;North;1
143;North;1
144;North;1
145;North;1
146;North;1
147;North;1
148;North;1
149;North;1
150;North;1
151;North;1
152;North;1
153;North;1
154;North;1
155;North;1
156;North;1
157;North;1
158;North;1
159;North;1
160;North;1
161;North;1
162;North;1
163;North;1
164;North;1
165;North;1
166;North;1
167;North;1
168;North;1
169;North;1
