island,weight
smaller,22.93
smaller,23.55
smaller,19.45
smaller,17.73
smaller,23.03
smaller,10.91
smaller,23.15
smaller,18.62
smaller,18.58
smaller,15.4
smaller,19.42
smaller,29.09
smaller,21.85
smaller,22.6
smaller,16.25
smaller,24.08
smaller,15.57
smaller,18.34
smaller,25.6
smaller,21.49
larger,23.9
larger,27.28
larger,16.78
larger,12.23
larger,12.01
larger,29.03
larger,17.59
larger,23.1
larger,23.06
larger,19.19
larger,24.06
larger,30.98
larger,30.25
larger,28.16
larger,21.27
larger,22.46
larger,18.38
larger,11.69
larger,28.84
larger,20.13
