Species,ID,Date,Sex,WingSize,L2Length
D_acutila,ACU1006.TIF,24_Jul_01,F,0.1311220183,0.4972620127
D_acutila,ACU1009.TIF,24_Jul_01,F,0.1360880957,0.4879716426
D_acutila,ACU1010.TIF,24_Jul_01,F,0.1953932712,0.5401365988
D_acutila,ACU1013.TIF,24_Jul_01,F,0.2773285363,0.6463595018
D_acutila,ACU1018.TIF,24_Jul_01,F,0.1515311551,0.4977579266
D_acutila,ACU1021.TIF,24_Jul_01,F,0.1751864614,0.4919342481
D_acutila,ACU1048.TIF,24_Jul_01,F,0.2297430676,0.600350886
D_acutila,ACU1049.TIF,24_Jul_01,F,0.1744773274,0.5457801765
D_acutila,ACU1054.TIF,05_Sep_01,F,0.1080136588,0.4291605164
D_acutila,ACU1059.TIF,05_Sep_01,F,0.2047006161,0.5799392151
D_acutila,ACU1060.TIF,05_Sep_01,F,0.1905922086,0.5332696783
D_acutila,ACU1061.TIF,05_Sep_01,F,0.265253513,0.5802409956
D_acutila,ACU1062.TIF,05_Sep_01,F,0.1938309097,0.5197846926
D_acutila,ACU1063.TIF,05_Sep_01,F,0.2937455662,0.6506255569
D_acutila,ACU1064.TIF,05_Sep_01,F,0.2274851883,0.5594804043
D_acutila,ACU1078.TIF,05_Sep_01,F,0.2068273804,0.5517276433
D_acutila,ACU1089.TIF,05_Sep_01,F,0.2645185555,0.6127634599
D_acutila,ACU1090.TIF,05_Sep_01,F,0.1788871209,0.4985366955
D_acutila,ACU1091.TIF,05_Sep_01,F,0.2329738696,0.5486210351
D_acutila,ACU1092.TIF,05_Sep_01,F,0.2143501297,0.5458047529
D_acutila,ACU1093.TIF,05_Sep_01,F,0.2043337245,0.5479732374
D_acutila,ACU1094.TIF,05_Sep_01,F,0.2105171475,0.552731923
D_acutila,ACU1095.TIF,05_Sep_01,F,0.2157442459,0.5526670672
D_acutila,ACU1096.TIF,05_Sep_01,F,0.2487438524,0.6121514164
D_acutila,ACU1097.TIF,05_Sep_01,F,0.2252403901,0.5509235427
D_acutila,ACU1098.TIF,05_Sep_01,F,0.2107752304,0.5557438137
D_acutila,ACU1099.TIF,05_Sep_01,F,0.261514276,0.624605558
D_acutila,ACU1100.TIF,05_Sep_01,F,0.2430839393,0.5542508172
D_acutila,ACU1101.TIF,05_Sep_01,F,0.2703236684,0.6192774773
D_acutila,ACU1102.TIF,05_Sep_01,F,0.2418357034,0.5783536168
D_acutila,ACU1103.TIF,05_Sep_01,F,0.2583536222,0.6050812235
D_acutila,ACU1104.TIF,05_Sep_01,F,0.252548294,0.596020992
D_acutila,ACU1114.TIF,05_Sep_01,F,0.2233302921,0.5434370072
D_acutila,ACU1115.TIF,05_Sep_01,F,0.1951064324,0.5145302839
D_acutila,ACU1116.TIF,05_Sep_01,F,0.229383147,0.5662492958
